317.740, 129.490, 0.000,  0.000 False
317.739, 129.490, -0.032,  0.386 False
317.738, 129.490, -0.001,  0.415 False
317.738, 129.490, 0.002,  0.815 False
317.738, 129.490, 0.015,  0.881 False
317.738, 129.490, 0.014,  1.281 False
317.738, 129.490, 0.014,  1.352 False
317.737, 129.490, 0.009,  1.752 False
317.736, 129.490, 0.013,  1.832 False
317.734, 129.490, 0.026,  2.232 False
317.732, 129.490, 0.037,  2.323 False
317.722, 129.490, 0.196,  2.723 False
317.696, 129.490, 0.312,  2.790 False
317.670, 129.490, 0.428,  3.190 False
317.622, 129.490, 0.478,  3.264 False
317.582, 129.490, 0.567,  3.664 False
317.521, 129.490, 0.643,  3.734 False
317.472, 129.490, 0.751,  4.134 False
317.395, 129.491, 0.775,  4.204 False
317.335, 129.491, 0.893,  4.604 False
317.244, 129.491, 0.929,  4.690 False
317.158, 129.491, 1.049,  5.090 False
317.049, 129.491, 1.126,  5.170 False
316.955, 129.491, 1.203,  5.570 False
316.830, 129.491, 1.283,  5.662 False
316.706, 129.491, 1.399,  6.062 False
316.561, 129.491, 1.480,  6.152 False
316.422, 129.491, 1.584,  6.552 False
316.261, 129.491, 1.643,  6.625 False
316.138, 129.491, 1.715,  7.025 False
315.964, 129.491, 1.754,  7.103 False
315.824, 129.491, 1.816,  7.503 False
315.638, 129.491, 1.888,  7.596 False
315.458, 129.491, 1.987,  7.996 False
315.255, 129.491, 2.067,  8.080 False
315.077, 129.491, 2.140,  8.480 False
314.859, 129.491, 2.203,  8.557 False
314.689, 129.492, 2.245,  8.957 False
314.461, 129.492, 2.304,  9.034 False
314.281, 129.492, 2.361,  9.434 False
314.040, 129.492, 2.441,  9.522 False
313.821, 129.492, 2.509,  9.922 False
313.565, 129.492, 2.595, 10.002 False
313.355, 129.492, 2.648, 10.402 False
313.087, 129.492, 2.710, 10.499 False
312.820, 129.492, 2.795, 10.899 False
312.535, 129.492, 2.900, 10.979 False
312.298, 129.492, 2.961, 11.379 False
312.000, 129.492, 3.016, 11.458 False
311.757, 129.492, 3.075, 11.858 False
311.445, 129.492, 3.164, 12.258 False
311.119, 129.492, 3.340, 12.658 False
310.767, 129.492, 3.628, 13.058 False
310.383, 129.492, 3.973, 13.458 False
309.962, 129.493, 4.353, 13.858 False
309.503, 129.493, 4.747, 14.258 False
309.004, 129.493, 5.143, 14.658 False
308.466, 129.493, 5.534, 15.058 False
307.890, 129.493, 5.915, 15.458 False
307.277, 129.501, 6.277, 15.858 False
306.629, 129.511, 6.628, 16.258 False
305.947, 129.525, 6.953, 16.658 False
305.234, 129.540, 7.264, 17.058 False
304.492, 129.556, 7.547, 17.458 False
303.721, 129.576, 7.822, 17.858 False
302.925, 129.599, 8.083, 18.258 False
302.101, 129.624, 8.353, 18.658 False
301.252, 129.650, 8.601, 19.058 False
300.380, 129.683, 8.800, 19.458 False
299.496, 129.715, 8.874, 19.858 False
298.614, 129.750, 8.810, 20.258 False
297.745, 129.785, 8.651, 20.658 False
296.894, 129.821, 8.458, 21.058 False
296.062, 129.861, 8.281, 21.458 False
295.243, 129.904, 8.162, 21.858 False
294.431, 129.954, 8.117, 22.258 False
293.619, 130.006, 8.142, 22.658 False
292.802, 130.059, 8.211, 23.058 False
291.977, 130.117, 8.294, 23.458 False
291.145, 130.179, 8.368, 23.858 False
290.307, 130.245, 8.417, 24.258 False
289.467, 130.311, 8.433, 24.658 False
288.628, 130.382, 8.419, 25.058 False
287.791, 130.451, 8.386, 25.458 False
286.957, 130.514, 8.347, 25.858 False
286.127, 130.577, 8.315, 26.258 False
285.299, 130.638, 8.295, 26.658 False
284.472, 130.698, 8.290, 27.058 False
283.645, 130.756, 8.298, 27.458 False
282.816, 130.805, 8.310, 27.858 False
281.984, 130.841, 8.324, 28.258 False
281.152, 130.874, 8.341, 28.658 False
280.317, 130.905, 8.351, 29.058 False
279.482, 130.933, 8.355, 29.458 False
278.648, 130.952, 8.350, 29.858 False
277.813, 130.968, 8.343, 30.258 False
276.980, 130.981, 8.336, 30.658 False
276.146, 130.989, 8.329, 31.058 False
275.314, 130.994, 8.325, 31.458 False
274.481, 130.995, 8.324, 31.858 False
273.649, 130.994, 8.326, 32.258 False
272.816, 130.991, 8.329, 32.658 False
271.983, 130.981, 8.331, 33.058 False
271.150, 130.969, 8.335, 33.458 False
270.316, 130.955, 8.337, 33.858 False
269.483, 130.935, 8.337, 34.258 False
268.650, 130.914, 8.336, 34.658 False
267.816, 130.893, 8.335, 35.058 False
266.983, 130.869, 8.334, 35.458 False
266.150, 130.843, 8.332, 35.858 False
265.318, 130.815, 8.332, 36.258 False
264.485, 130.786, 8.331, 36.658 False
263.652, 130.756, 8.332, 37.058 False
262.820, 130.724, 8.332, 37.458 False
261.987, 130.691, 8.333, 37.858 False
261.155, 130.658, 8.333, 38.258 False
260.322, 130.622, 8.334, 38.658 False
259.489, 130.587, 8.334, 39.058 False
258.657, 130.549, 8.334, 39.458 False
257.824, 130.512, 8.333, 39.858 False
256.992, 130.471, 8.333, 40.258 False
256.160, 130.431, 8.333, 40.658 False
255.327, 130.390, 8.333, 41.058 False
254.495, 130.348, 8.333, 41.458 False
253.663, 130.307, 8.333, 41.858 False
252.831, 130.265, 8.333, 42.258 False
251.998, 130.224, 8.333, 42.658 False
251.166, 130.183, 8.333, 43.058 False
250.334, 130.141, 8.333, 43.458 False
249.502, 130.100, 8.333, 43.858 False
248.669, 130.059, 8.333, 44.258 False
247.837, 130.019, 8.333, 44.658 False
247.005, 129.979, 8.333, 45.058 False
246.172, 129.939, 8.333, 45.458 False
245.340, 129.900, 8.333, 45.858 False
244.507, 129.861, 8.333, 46.258 False
243.675, 129.823, 8.333, 46.658 False
242.842, 129.785, 8.333, 47.058 False
242.010, 129.749, 8.333, 47.458 False
241.177, 129.713, 8.333, 47.858 False
240.345, 129.678, 8.333, 48.258 False
239.512, 129.643, 8.333, 48.658 False
238.680, 129.610, 8.333, 49.058 False
237.847, 129.577, 8.333, 49.458 False
237.014, 129.546, 8.333, 49.858 False
236.181, 129.515, 8.333, 50.258 False
235.349, 129.485, 8.333, 50.658 False
234.516, 129.456, 8.333, 51.058 False
233.683, 129.429, 8.333, 51.458 False
232.850, 129.402, 8.333, 51.858 False
232.017, 129.376, 8.333, 52.258 False
231.184, 129.351, 8.333, 52.658 False
230.351, 129.328, 8.333, 53.058 False
229.518, 129.305, 8.333, 53.458 False
228.685, 129.284, 8.333, 53.858 False
227.852, 129.264, 8.333, 54.258 False
227.019, 129.245, 8.333, 54.658 False
226.186, 129.229, 8.333, 55.058 False
225.353, 129.214, 8.333, 55.458 False
224.519, 129.199, 8.333, 55.858 False
223.686, 129.185, 8.333, 56.258 False
222.853, 129.172, 8.333, 56.658 False
222.020, 129.161, 8.333, 57.058 False
221.186, 129.149, 8.333, 57.458 False
220.353, 129.140, 8.333, 57.858 False
219.520, 129.130, 8.333, 58.258 False
218.687, 129.122, 8.333, 58.658 False
217.853, 129.114, 8.333, 59.058 False
217.020, 129.108, 8.333, 59.458 False
216.187, 129.102, 8.333, 59.858 False
215.353, 129.097, 8.333, 60.258 False
214.520, 129.092, 8.333, 60.658 False
213.687, 129.089, 8.333, 61.058 False
212.853, 129.086, 8.333, 61.458 False
212.020, 129.084, 8.333, 61.858 False
211.187, 129.083, 8.333, 62.258 False
210.353, 129.082, 8.333, 62.658 False
209.520, 129.082, 8.333, 63.058 False
208.687, 129.083, 8.333, 63.458 False
207.853, 129.085, 8.333, 63.858 False
207.020, 129.087, 8.333, 64.258 False
206.187, 129.089, 8.333, 64.658 False
205.354, 129.093, 8.333, 65.058 False
204.520, 129.096, 8.333, 65.458 False
203.687, 129.101, 8.333, 65.858 False
202.854, 129.106, 8.333, 66.258 False
202.020, 129.112, 8.333, 66.658 False
201.187, 129.117, 8.333, 67.058 False
200.354, 129.124, 8.333, 67.458 False
199.520, 129.131, 8.333, 67.858 False
198.687, 129.138, 8.333, 68.258 False
197.854, 129.146, 8.333, 68.658 False
197.020, 129.154, 8.333, 69.058 False
196.187, 129.163, 8.333, 69.458 False
195.354, 129.172, 8.333, 69.858 False
194.520, 129.181, 8.333, 70.258 False
193.687, 129.190, 8.333, 70.658 False
192.854, 129.200, 8.333, 71.058 False
192.021, 129.210, 8.333, 71.458 False
191.187, 129.220, 8.333, 71.858 False
190.354, 129.230, 8.333, 72.258 False
189.521, 129.240, 8.333, 72.658 False
188.688, 129.251, 8.333, 73.058 False
187.855, 129.262, 8.333, 73.458 False
187.021, 129.272, 8.333, 73.858 False
186.188, 129.283, 8.333, 74.258 False
185.355, 129.294, 8.333, 74.658 False
184.522, 129.304, 8.333, 75.058 False
183.689, 129.315, 8.333, 75.458 False
182.855, 129.326, 8.333, 75.858 False
182.022, 129.336, 8.333, 76.258 False
181.189, 129.347, 8.333, 76.658 False
180.356, 129.357, 8.333, 77.058 False
179.525, 129.368, 8.279, 77.458 False
178.709, 129.378, 8.056, 77.858 False
177.930, 129.387, 7.635, 78.258 False
177.200, 129.396, 7.105, 78.658 False
176.526, 129.404, 6.519, 79.058 False
175.911, 129.411, 5.934, 79.458 False
175.350, 129.417, 5.405, 79.858 False
174.834, 129.423, 5.018, 80.258 False
174.337, 129.428, 4.943, 80.658 False
173.830, 129.433, 5.099, 81.058 False
173.301, 129.439, 5.355, 81.458 False
172.747, 129.445, 5.610, 81.858 False
172.173, 129.450, 5.785, 82.258 False
171.590, 129.456, 5.841, 82.658 False
171.012, 129.462, 5.756, 83.058 False
170.446, 129.467, 5.615, 83.458 False
169.896, 129.472, 5.453, 83.858 False
169.359, 129.477, 5.338, 83.958 False
168.825, 129.481, 5.346, 84.358 False
168.281, 129.486, 5.514, 84.758 False
167.707, 129.490, 5.872, 85.158 False
167.094, 129.495, 6.265, 85.558 False
166.448, 129.500, 6.553, 85.958 False
165.785, 129.505, 6.652, 86.358 False
165.128, 129.510, 6.534, 86.758 False
164.492, 129.514, 6.268, 87.158 False
163.888, 129.518, 5.932, 87.558 False
163.316, 129.521, 5.603, 87.958 False
162.774, 129.524, 5.339, 88.358 False
162.252, 129.527, 5.142, 88.758 False
161.746, 129.529, 4.994, 89.158 False
161.242, 129.531, 5.074, 89.245 False
160.790, 129.533, 5.257, 89.645 False
160.247, 129.536, 5.526, 90.045 False
159.673, 129.538, 5.859, 90.445 False
159.065, 129.541, 6.189, 90.845 False
158.430, 129.543, 6.445, 91.245 False
157.778, 129.545, 6.550, 91.645 False
157.128, 129.548, 6.469, 92.045 False
156.496, 129.550, 6.248, 92.445 False
155.891, 129.551, 5.951, 92.845 False
155.316, 129.553, 5.653, 93.245 False
154.767, 129.554, 5.404, 93.645 False
154.238, 129.555, 5.224, 94.045 False
153.722, 129.556, 5.119, 94.445 False
153.210, 129.557, 5.120, 94.845 False
152.688, 129.557, 5.274, 95.245 False
152.139, 129.558, 5.613, 95.341 False
151.575, 129.559, 6.022, 95.741 False
150.952, 129.559, 6.348, 96.141 False
150.302, 129.560, 6.581, 96.541 False
149.638, 129.560, 6.655, 96.941 False
148.981, 129.561, 6.536, 97.341 False
148.345, 129.561, 6.275, 97.741 False
147.740, 129.561, 5.941, 98.141 False
147.167, 129.560, 5.607, 98.541 False
146.624, 129.560, 5.337, 98.941 False
146.102, 129.559, 5.146, 99.341 False
145.594, 129.559, 5.035, 99.741 False
145.091, 129.558, 5.029, 100.141 False
144.578, 129.558, 5.179, 100.541 False
144.040, 129.557, 5.509, 100.941 False
143.457, 129.556, 5.985, 101.341 False
142.830, 129.555, 6.415, 101.438 False
142.189, 129.554, 6.682, 101.838 False
141.521, 129.553, 6.671, 102.238 False
140.866, 129.552, 6.509, 102.638 False
140.232, 129.551, 6.250, 103.038 False
139.628, 129.550, 5.940, 103.438 False
139.054, 129.549, 5.642, 103.838 False
138.505, 129.547, 5.405, 104.238 False
137.974, 129.546, 5.260, 104.638 False
137.449, 129.545, 5.250, 105.038 False
136.915, 129.543, 5.387, 105.438 False
136.356, 129.542, 5.714, 105.838 False
135.756, 129.541, 6.148, 106.238 False
135.115, 129.539, 6.538, 106.638 False
134.445, 129.537, 6.777, 107.038 False
133.767, 129.536, 6.769, 107.438 False
133.106, 129.534, 6.532, 107.838 False
132.479, 129.533, 6.127, 108.238 False
131.898, 129.531, 5.639, 108.638 False
131.368, 129.530, 5.117, 109.038 False
130.888, 129.528, 4.595, 109.131 False
130.487, 129.527, 4.125, 109.531 False
130.103, 129.525, 3.662, 109.608 False
129.834, 129.524, 3.345, 110.008 False
129.521, 129.518, 2.980, 110.093 False
129.280, 129.516, 2.704, 110.493 False
129.026, 129.514, 2.414, 110.573 False
128.843, 129.513, 2.206, 110.973 False
128.635, 129.511, 1.971, 111.046 False
128.499, 129.510, 1.817, 111.446 False
128.328, 129.509, 1.624, 111.505 False
128.235, 129.509, 1.519, 111.905 False
128.091, 129.508, 1.358, 111.978 False
127.997, 129.507, 1.252, 112.378 False
127.879, 129.507, 1.119, 112.446 False
127.805, 129.506, 1.037, 112.846 False
127.714, 129.506, 0.834, 112.919 False
127.658, 129.505, 0.723, 113.319 False
127.591, 129.505, 0.624, 113.378 False
127.550, 129.505, 0.772, 113.778 False
127.453, 129.504, 0.995, 113.877 False
